type w q nm qr ed no co qe eqe qre eqre rq rqr dq dqr
fw 34 0.291476407915 3 0.545454545455 220 56 0.0701530612245 0.272130497408 0.00110349976673 -0.0578337876401 0.00411495338242 172 249 0.019345910507 0.6032883330951
fw 35 0.199167657551 2 0.51724137931 29 13 0.171597633136 0.264655469152 0.00341137321788 0.200124186283 0.0101458879093 82 235.5 -0.065487811601 0.317117193027
fw 36 0.318362778679 3 0.386973180077 261 50 0.1044 0.2245473195 0.000908753522361 -0.13592039775 0.00420171468405 198 199 0.093815459179 0.522893577827
fw 37 0.419650404541 3 0.672131147541 183 53 0.065147739409 0.294389740396 0.00123113093043 -0.0143401803904 0.00415886367633 269 267 0.125260664145 0.6864713279314
fw 38 0.361635993003 3 0.715355805243 267 56 0.0851403061224 0.243578615116 0.000944544238012 -0.115642291316 0.0040222697037 231 272 0.118057377887 0.830998096559
fw 39 0.376678175996 3 0.780487804878 328 61 0.0881483472185 0.22998659716 0.000838686695167 -0.154628443763 0.0037654020304 241 278 0.146691578836 0.935116248641
fw 40 0.1065625 3 -0.0413223140496 121 30 0.134444444444 0.229939155613 0.00138515932681 -0.0441301412798 0.00593141298841 10 41 -0.123376655613 0.0028078272302
fw 41 0.369385613401 3 0.750452079566 553 75 0.0983111111111 0.194299582176 0.000603859157863 -0.242808027234 0.0034840632592 238.5 273.5 0.175086031225 0.9932601068
fw 42 0.290858725762 3 0.263157894737 19 15 0.0844444444444 0.375156867058 0.00459959439608 0.389130545782 0.0111087917301 171 159 -0.084298141296 -0.125972651045
fw 43 0.386751211911 3 0.803921568627 153 41 0.0910172516359 0.268233937005 0.00127567104056 -0.0242586073049 0.00470441021255 250 284 0.118517274906 0.8281801759319
fw 44 0.38589378333 3 0.694915254237 118 35 0.0963265306122 0.280328568218 0.00156958840193 0.0227572070568 0.00545443405347 248 269 0.105565215112 0.6721580471802
fw 45 0.295582986318 3 0.349397590361 83 36 0.0640432098765 0.34646145312 0.00206221988261 0.14193616672 0.00599824549273 176 188 -0.050878466802 0.207461423641
fw 46 0.195 3 0.2 10 8 0.15625 0.300929410259 0.00638333950752 0.43948250109 0.0157337880845 72 134.5 -0.105929410259 -0.23948250109
fw 47 0.151365258775 3 0.802884615385 416 54 0.142661179698 0.177009337005 0.000680290909573 -0.229920430224 0.00396190149095 39 283 -0.02564407823 1.032805045609
fw 48 0.390954943435 3 0.703349282297 418 65 0.0989349112426 0.208242307458 0.000731453531835 -0.202396599558 0.00351811508718 251 270 0.182712635977 0.905745881855
fw 49 0.363888888889 4 0.409836065574 61 32 0.0595703125 0.374592025644 0.00250654754811 0.216328486506 0.00645098977695 233 208.5 -0.010703136755 0.193507579068
fw 50 0.379464285714 3 0.428571428571 28 19 0.0775623268698 0.380511036669 0.00386877318655 0.333728092811 0.00940910499572 244 212.5 -0.00104675095500001 0.09484333576
fw 51 0.251074380165 3 0.275862068966 58 22 0.119834710744 0.285023079826 0.00244407911597 0.118347165402 0.00768113220745 127 162 -0.033948699661 0.157514903564
fw 52 0.347967194421 2 0.710526315789 152 39 0.0999342537804 0.260234144611 0.00132091983186 -0.0298021826994 0.00503454835652 217 271 0.08773304981 0.7403284984884
fw 53 0.263643193771 3 0.409836065574 122 32 0.119140625 0.253317645751 0.00147446722732 -0.0122211039268 0.0055010279959 142 208.5 0.01032554802 0.4220571695008
fw 54 0.31702062173 2 0.649122807018 57 22 0.117768595041 0.291696266182 0.00241732899418 0.121818531006 0.00724069459666 196 265 0.025324355548 0.527304276012
fw 55 0.332713359549 3 0.448979591837 98 40 0.06125 0.341934608302 0.00187978808268 0.118193032369 0.00552045339874 208 218 -0.00922124875300001 0.330786559468
fw 56 0.297163146936 3 0.757575757576 165 44 0.0852272727273 0.270500277187 0.00130002324785 -0.0284296872395 0.00473247182374 178 275 0.026662869749 0.7860054448155
fw 57 0.210743801653 3 0.454545454545 11 9 0.135802469136 0.320385339957 0.00612875963037 0.428924215336 0.0150537222076 93 220 -0.109641538304 0.025621239209
fw 58 0.232595407614 3 0.320754716981 212 45 0.104691358025 0.235311167691 0.00102826494267 -0.0958793618425 0.00448741956301 107 180 -0.002715760077 0.4166340788235
fw 59 0.3536 4 0.28 25 16 0.09765625 0.351826999762 0.00402050086412 0.311961128716 0.00997238341076 220 164 0.00177300023800003 -0.031961128716
fw 60 0.235172193878 4 0.112426035503 169 41 0.100535395598 0.25246585149 0.00124673666046 -0.0534708122133 0.00477484715128 110 101 -0.017293657612 0.1658968477163
fw 61 0.176658163265 4 0.0114942528736 87 24 0.151041666667 0.236274444455 0.00171836140328 0.0069171554549 0.00659351161705 58 67 -0.05961628119 0.0045770974187
fw 62 0.308042894594 3 0.628721541156 571 72 0.110146604938 0.184795349241 0.00059008804717 -0.249858856415 0.00361380984446 187 260 0.123247545353 0.878580397571
fw 63 0.381421267399 3 0.647058823529 255 49 0.106205747605 0.229182877509 0.000951563554242 -0.120289725155 0.0043216089641 246 264 0.15223838989 0.767348548684
fw 64 0.392108804306 2 0.78431372549 102 35 0.0832653061224 0.300052920185 0.00164447511788 0.0584070034501 0.00521569217694 252 280 0.092055884121 0.7259067220399
fw 65 0.271615133702 3 0.429256594724 417 65 0.0986982248521 0.206440007404 0.00072912824786 -0.201666143088 0.00381908340082 149 215 0.065175126298 0.630922737812
fw 66 0.183103221565 4 0 118 35 0.0963265306122 0.272373329118 0.00148209631968 0.00952458424038 0.0054114620822 66 62.5 -0.089270107553 -0.00952458424038
fw 67 0.248206765699 2 0.5 148 31 0.154006243496 0.219239388766 0.00131316043336 -0.0665889315643 0.00551057286298 126 231.5 0.028967376933 0.5665889315643
fw 68 0.355 3 0.4 20 14 0.102040816327 0.372834171937 0.00484924611277 0.378555421175 0.0114819052589 222 205.5 -0.017834171937 0.021444578825
fw 69 0.415925195802 3 0.824817518248 137 41 0.081499107674 0.287272901164 0.00147188974266 0.0124682158943 0.0049596589705 265 285 0.128652294638 0.8123493023537
fw 70 0.179039158157 3 0.311740890688 247 52 0.0913461538462 0.239006675274 0.000949370202772 -0.111749926129 0.00409341255281 60 178 -0.059967517117 0.423490816817
fw 71 0.23943359375 3 0.428571428571 161 37 0.117604090577 0.238944751755 0.00124250439455 -0.0664720238686 0.00517157380692 119 212.5 0.000488841995000017 0.4950434524396
fw 72 0.323264746228 3 0.63768115942 138 33 0.126721763085 0.240715676181 0.00140610898464 -0.0431693438266 0.00552722869903 203 262 0.082549070047 0.6808505032466
fw 73 0.392878397143 3 0.802816901408 71 30 0.0788888888889 0.328946249491 0.00220930366104 0.142250413016 0.00614526341871 253 282 0.063932147652 0.660566488392
fw 74 0.275291141387 3 0.619047619048 273 50 0.1092 0.220922086823 0.000916679185269 -0.146599344272 0.00414098198396 154 258 0.054369054564 0.76564696332
